"Bron/Techniek";"Energietoepassingen";"Perioden";"Bruto eindverbruik hernieuwbare energie/Bruto eindverbruik (TJ)";"Bruto eindverbruik hernieuwbare energie/Bruto eindverbruik relatief (% van totaal eindverbruik energie)";"Vermeden verbruik van fossiele energie/Vermeden verbruik (TJ)";"Vermeden verbruik van fossiele energie/Vermeden verbruik relatief (% van totaal energieverbruik)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie (kton)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie relatief (% van totale CO2 emissie)"
"Zonnewarmte, afgedekte systemen > 6m2";"Elektriciteit";"2018**";"";"";"";"";"";""
"Zonnewarmte, afgedekte systemen > 6m2";"Warmte";"2017**";"     204";"    0.01";"     220";"    0.01";"      12";"    0.01"
"Zonnewarmte, afgedekte systemen > 6m2";"Warmte";"2018**";"     220";"    0.01";"     237";"    0.01";"      13";"    0.01"
"Zonnewarmte, afgedekte systemen > 6m2";"Vervoer";"2017**";"";"";"";"";"";""
"Zonnewarmte, afgedekte systemen > 6m2";"Vervoer";"2018**";"";"";"";"";"";""
"Zonnewarmte, onafgedekte systemen";"Totaal energietoepassingen";"2017**";"     120";"    0.01";"      88";"    0.00";"       5";"    0.00"
"Zonnewarmte, onafgedekte systemen";"Totaal energietoepassingen";"2018**";"     110";"    0.01";"      81";"    0.00";"       5";"    0.00"
"Zonnewarmte, onafgedekte systemen";"Elektriciteit";"2017**";"";"";"";"";"";""
"Zonnewarmte, onafgedekte systemen";"Elektriciteit";"2018**";"";"";"";"";"";""
"Zonnewarmte, onafgedekte systemen";"Warmte";"2017**";"     120";"    0.01";"      88";"    0.00";"       5";"    0.00"
"Zonnewarmte, onafgedekte systemen";"Warmte";"2018**";"     110";"    0.01";"      81";"    0.00";"       5";"    0.00"
"Zonnewarmte, onafgedekte systemen";"Vervoer";"2017**";"";"";"";"";"";""
"Zonnewarmte, onafgedekte systemen";"Vervoer";"2018**";"";"";"";"";"";""
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2017**";"    7126";"    0.34";"    6994";"    0.22";"     360";"    0.22"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2018**";"    8105";"    0.38";"    7878";"    0.25";"     405";"    0.25"
"Totaal aardwarmte en bodemenergie";"Elektriciteit";"2017**";"";"";"";"";"";""
"Totaal aardwarmte en bodemenergie";"Elektriciteit";"2018**";"";"";"";"";"";""
"Totaal aardwarmte en bodemenergie";"Warmte";"2017**";"    7126";"    0.34";"    6994";"    0.22";"     360";"    0.22"
"Totaal aardwarmte en bodemenergie";"Warmte";"2018**";"    8105";"    0.38";"    7878";"    0.25";"     405";"    0.25"
"Totaal aardwarmte en bodemenergie";"Vervoer";"2017**";"";"";"";"";"";""
"Totaal aardwarmte en bodemenergie";"Vervoer";"2018**";"";"";"";"";"";""
